tractFIPS_left,SUM of Qty,tree planting sentence,many tree %ile,few tree %ile,priority category,pcanopy,canopy sentence,high canopy %ile,low canopy %ile,requests,requests sentence,high req %ile,low req %ile,prio_rank
17031051300,75,more than 57.5682382133995% of other census tracts,57.56823821,42.43176179,low                                                                             ,30.42472962,more than 91.7910447761194% of other census tracts,91.79104478,8.208955224,169,more than 82.7114427860697% of other census tracts,82.71144279,17.28855721,71
17031051400,68,more than 53.1017369727047% of other census tracts,53.10173697,46.89826303,low                                                                             ,28.41179301,more than 88.3084577114428% of other census tracts,88.30845771,11.69154229,109,more than 70.5223880597015% of other census tracts,70.52238806,29.47761194,105
17031060100,50,less than 61.2903225806452% of other census tracts,38.70967742,61.29032258,low                                                                             ,32.84098135,more than 95.0248756218906% of other census tracts,95.02487562,4.975124378,90,more than 63.0597014925373% of other census tracts,63.05970149,36.94029851,28
17031060200,31,less than 76.6749379652605% of other census tracts,23.32506203,76.67493797,low                                                                             ,28.95524618,more than 89.5522388059702% of other census tracts,89.55223881,10.44776119,46,less than 62.5621890547264% of other census tracts,37.43781095,62.56218905,66
17031060300,63,less than 50.2481389578164% of other census tracts,49.75186104,50.24813896,low                                                                             ,30.66896477,more than 92.2885572139304% of other census tracts,92.28855721,7.711442786,103,more than 68.407960199005% of other census tracts,68.4079602,31.5920398,25
17031060400,59,less than 53.7220843672457% of other census tracts,46.27791563,53.72208437,low                                                                             ,28.63401377,more than 88.9303482587065% of other census tracts,88.93034826,11.06965174,82,more than 57.8358208955224% of other census tracts,57.8358209,42.1641791,32
17031060500,21,less than 85.9801488833747% of other census tracts,14.01985112,85.98014888,medium                                                                          ,34.54842989,more than 96.3930348258706% of other census tracts,96.39303483,3.606965174,20,less than 83.955223880597% of other census tracts,16.04477612,83.95522388,168
17031060800,21,less than 85.9801488833747% of other census tracts,14.01985112,85.98014888,low                                                                             ,18.7537435,less than 58.3333333333333% of other census tracts,41.66666667,58.33333333,33,less than 73.2587064676617% of other census tracts,26.74129353,73.25870647,40
17031060900,15,less than 90.6947890818859% of other census tracts,9.305210918,90.69478908,low                                                                             ,21.78785168,more than 58.3333333333333% of other census tracts,58.33333333,41.66666667,23,less than 81.8407960199005% of other census tracts,18.15920398,81.84079602,22
17031061000,33,less than 74.317617866005% of other census tracts,25.68238213,74.31761787,low                                                                             ,18.46469272,less than 59.7014925373134% of other census tracts,40.29850746,59.70149254,34,less than 72.2636815920398% of other census tracts,27.73631841,72.26368159,93
